chromatin_code,motif_type,Motif Type,Node A,Node B,Node C,Node D,p_value,real_count,random_mean_count,log_fold_change,
13,3333,,repressed,weak,weak,weak,0,2,0,0.693147181,
22,3333,,repressed,repressed,weak,weak,0,2,0,0.693147181,
31,3333,,repressed,repressed,repressed,weak,0,5,0,1.609437912,
40,3333,,repressed,repressed,repressed,repressed,0,4,0,1.386294361,
112,3333,,poised,repressed,weak,weak,0,1,0,0,
220,3333,,poised,poised,repressed,repressed,0,1,0,0,
1012,3333,,active,repressed,weak,weak,0,6,0,1.791759469,
1021,3333,,active,repressed,repressed,weak,0,16,0,2.772588722,
1030,3333,,active,repressed,repressed,repressed,0,7,0,1.945910149,
1210,3333,,active,poised,poised,repressed,0,1,0,0,
2002,3333,,active,active,weak,weak,0,4,0,1.386294361,
2011,3333,,active,active,repressed,weak,0,6,0,1.791759469,
2020,3333,,active,active,repressed,repressed,0,3,0,1.098612289,
2101,3333,,active,active,poised,weak,0,2,0,0.693147181,
2110,3333,,active,active,poised,repressed,0,2,0,0.693147181,
3001,3333,,active,active,active,weak,0,9,0,2.197224577,
3010,3333,,active,active,active,repressed,0,7,0,1.945910149,
4000,3333,,active,active,active,active,0,14,0,2.63905733,
20011,3322,,repressed,weak,weak,weak,0,6,0,1.791759469,
20020,3322,,repressed,weak,repressed,weak,0,11,0,2.397895273,
20110,3322,,poised,weak,repressed,weak,0,1,0,0,
21001,3322,,active,weak,weak,weak,0,9,0,2.197224577,
21010,3322,,active,weak,repressed,weak,0,9,0,2.197224577,
21100,3322,,active,weak,poised,weak,0,1,0,0,
22000,3322,,active,weak,active,weak,0,10,0,2.302585093,
40000,2222,,weak,weak,weak,weak,0,2,0,0.693147181,
110002,3322,,weak,repressed,weak,weak,0,5,0,1.609437912,
110011,3322,,repressed,repressed,weak,weak,0,18,0,2.890371758,
110020,3322,,repressed,repressed,repressed,weak,0,22,0,3.091042453,
111001,3322,,active,repressed,weak,weak,0,23,0,3.135494216,
111010,3322,,active,repressed,repressed,weak,0,26,0,3.258096538,
111100,3322,,active,repressed,poised,weak,0,1,0,0,
112000,3322,,active,repressed,active,weak,0,20,0,2.995732274,
130000,2222,,repressed,weak,weak,weak,0,6,1,1.098612289,
200002,3322,,weak,repressed,weak,repressed,0,5,0,1.609437912,
200011,3322,,repressed,repressed,weak,repressed,0,36,0,3.583518938,
200020,3322,,repressed,repressed,repressed,repressed,0,37,0,3.610917913,
200101,3322,,poised,repressed,weak,repressed,0,1,0,0,
200110,3322,,poised,repressed,repressed,repressed,0,1,0,0,
200200,3322,,poised,repressed,poised,repressed,0,2,0,0.693147181,
201001,3322,,active,repressed,weak,repressed,0,7,0,1.945910149,
201010,3322,,active,repressed,repressed,repressed,0,21,0,3.044522438,
202000,3322,,active,repressed,active,repressed,0,9,0,2.197224577,
220000,2222,,repressed,repressed,weak,weak,0,23,1.052631579,2.416371549,
310000,2222,,repressed,repressed,repressed,weak,0,26,1,2.564949357,
